CO2 Range (g/100g)	Equivalent Impact Examples
0 - 10g	• Digital: Sending 50-500 emails with attachments<br>• Smartphone: Charging your phone 1-10 times fully<br>• Boiling water: Boiling a kettle 0.5-5 times<br>• Cycling: The CO2 from manufacturing the calories you'd burn cycling 2-10 km
10 - 25g	• Streaming: Watching Netflix for 1-2.5 hours<br>• Google searches: Making 500-1,250 Google searches<br>• Books: The production of 5-12 pages of a typical paperback book<br>• Plastic bag: Manufacturing 2-5 standard plastic shopping bags
25 - 50g	• Hot shower: Taking a 5-minute hot shower<br>• Pizza delivery: The delivery motorcycle trip for 1-2 km<br>• Jeans production: About 0.3-0.6% of making one pair of jeans<br>• Newspaper: Printing and delivering 3-6 newspapers
50 - 100g	• Clothes: Manufacturing 1-2 cotton t-shirts (just the fabric)<br>• Hairdryer: Using a hairdryer for 20-40 minutes<br>• Beer: Brewing, packaging and transporting 1-2 bottles of beer<br>• Cardboard box: Manufacturing 5-10 medium cardboard boxes
100 - 200g	• Coffee: Making 10-20 cups of coffee with an espresso machine<br>• Washing machine: One cold water washing cycle<br>• Glass bottle: Manufacturing 1-2 glass bottles<br>• Bread: Baking 2-4 loaves of bread in a home oven
200 - 350g	• Cotton t-shirt: Manufacturing about half a cotton t-shirt<br>• Running shoes: About 1.5-2.5% of producing one pair of running shoes<br>• Wine: Producing, bottling and transporting 1-1.5 bottles of wine<br>• Smartphone: About 0.3-0.5% of manufacturing a new smartphone
350 - 500g	• Clothes dryer: Running a tumble dryer for one full cycle<br>• Aluminum can: Manufacturing 30-40 aluminum drink cans<br>• Home heating: Heating an average home for 2-3 hours in winter<br>• Laptop use: Using a laptop continuously for 14-20 hours
500 - 750g	• Book: Producing and shipping 1-1.5 hardcover books<br>• Wool sweater: About 5-7% of producing a wool sweater<br>• Movie ticket: The energy used by a cinema for one moviegoer<br>• Ice cream: Manufacturing and freezing 5-7 liters of ice cream
750 - 1,000g	• Cotton t-shirt: Manufacturing one complete cotton t-shirt<br>• Haircut: The total energy use of a hair salon per customer<br>• Mattress: About 1-1.3% of manufacturing a mattress<br>• Refrigerator: Running a fridge-freezer for 4-5 days
1,000 - 1,500g	• Laptop: About 1-1.5% of manufacturing a new laptop<br>• Restaurant meal: The kitchen energy + ingredients for 1-2 restaurant meals<br>• Leather shoes: About 7-10% of producing a pair of leather shoes<br>• Hotel night: About 8-12% of one night in an average hotel
1,500 - 2,000g	• Jeans: About 1.5-2% of producing one pair of jeans (full lifecycle)<br>• Furniture: Manufacturing a small wooden chair<br>• Gym membership: Energy use of a gym for one person for one month<br>• Vinyl record: Manufacturing 15-20 vinyl records
2,000 - 3,000g	• Running shoes: About 15-22% of producing one pair of running shoes<br>• Cotton sheets: Manufacturing one set of cotton bed sheets<br>• Washing: 30-45 loads of laundry in a washing machine<br>• Office work: The energy footprint of one person working in an office for 2-3 days
3,000 - 4,000g	• Winter coat: About 20-27% of producing a winter parka<br>• Small appliance: Manufacturing a toaster or electric kettle<br>• Cinema: The total energy for one person to watch 20-25 movies in theaters<br>• Tree planting: Would need to plant 1-2 tree seedlings to offset over their lifetime
4,000 - 5,000g	• Smartphone: About 6-7% of manufacturing a new smartphone<br>• Wool sweater: Manufacturing one complete wool sweater<br>• Hotel stay: About one night in an average hotel (energy + services)<br>• Furniture: Manufacturing a small wooden table
5,000 - 6,500g	• Leather jacket: About 25-33% of producing a leather jacket<br>• Tablet: About 10-13% of manufacturing a tablet device<br>• Dining out: The full impact of 3-5 restaurant meals (including everything)<br>• Gym equipment: Manufacturing a set of dumbbells
6,500 - 8,000g	• Jeans: About 6-7% of one pair of jeans (from cotton field to store)<br>• Running shoes: About half a pair of running shoes (full production)<br>• Laptop: About 5-7% of manufacturing a new laptop<br>• Furniture: A medium-sized wooden bookshelf
8,000 - 10,000g	• Winter jacket: About 50-65% of producing a down winter jacket<br>• Handbag: Manufacturing one leather handbag<br>• Television: About 3-4% of manufacturing a 50" LED TV<br>• Carpet: Manufacturing 1-1.5 square meters of synthetic carpet<br>• Office chair: About half of manufacturing an office chair
